Region,Main_Sector,Price_Type,n,mean,median,std,var,min,max,range,Q1,Q3,IQR,P10,P25,P50,P75,P90,CV,QCD
MIMAROPA Region,Gross Domestic Product,At Constant 2018 Prices,3,411164256.3333,411149258.0,18204493.1338,331403570259134.3,392967267.0,429376244.0,36408977.0,402058262.5,420262751.0,18204488.5,396603665.2,402058262.5,411149258.0,420262751.0,425730846.8,0.0443,0.0221
MIMAROPA Region,Gross Domestic Product,At Current Prices,3,477864161.0,471001419.0,28824971.1433,830878961412532.0,453089929.0,509501135.0,56411206.0,462045674.0,490251277.0,28205603.0,456672227.0,462045674.0,471001419.0,490251277.0,501801191.8,0.0603,0.0296
MIMAROPA Region,Industry,At Constant 2018 Prices,3,134825356.3333,133860065.0,3929881.9375,15443972042377.332,131468063.0,139147941.0,7679878.0,132664064.0,136504003.0,3839939.0,131946463.4,132664064.0,133860065.0,136504003.0,138090365.8,0.0291,0.0143
MIMAROPA Region,Industry,At Current Prices,3,147409526.3333,146274416.0,10673478.9629,113923153170512.34,137348968.0,158605195.0,21256227.0,141811692.0,152439805.5,10628113.5,139134057.6,141811692.0,146274416.0,152439805.5,156139039.2,0.0724,0.0361
MIMAROPA Region,Services,At Constant 2018 Prices,3,221677799.0,222495866.0,17327683.8904,300248629007197.0,203955571.0,238581960.0,34626389.0,213225718.5,230538913.0,17313194.5,207663630.0,213225718.5,222495866.0,230538913.0,235364741.2,0.0782,0.039
MIMAROPA Region,Services,At Current Prices,3,271694151.3333,273634344.0,33276132.7816,1107301012899696.4,237490371.0,303957739.0,66467368.0,255562357.5,288796041.5,33233684.0,244719165.6,255562357.5,273634344.0,288796041.5,297893060.0,0.1225,0.0611
National Capital Region,"Agriculture, forestry, and fishing",At Constant 2018 Prices,25,483706.32,454656.0,129546.7711,16782365909.7267,393544.0,915480.0,521936.0,410906.0,489206.0,78300.0,397666.0,410906.0,454656.0,489206.0,524888.2,0.2678,0.087
National Capital Region,"Agriculture, forestry, and fishing",At Current Prices,25,422579.88,358641.0,247885.0992,61447022389.5267,257196.0,1244886.0,987690.0,276387.0,399074.0,122687.0,263507.8,276387.0,358641.0,399074.0,605105.0,0.5866,0.1816
National Capital Region,Gross Domestic Product,At Constant 2018 Prices,25,4868231703.52,4072189800.0,2727106051.6162,7.437107416761933e+18,2416391870.0,13148898313.0,10732506443.0,3157102605.0,5599931197.0,2442828592.0,2553923976.4,3157102605.0,4072189800.0,5599931197.0,6654790026.8,0.5602,0.279
National Capital Region,Gross Domestic Product,At Current Prices,25,4527994750.88,3553088571.0,3521442628.9567,1.2400558189033472e+19,1237450701.0,15145224777.0,13907774076.0,2176864045.0,5800819179.0,3623955134.0,1479553236.2,2176864045.0,3553088571.0,5800819179.0,7446262888.2,0.7777,0.4543
National Capital Region,Industry,At Constant 2018 Prices,25,1038542497.16,941951051.0,400697217.8777,1.6055826041489878e+17,685362544.0,2277227138.0,1591864594.0,833186879.0,1095210419.0,262023540.0,709082884.0,833186879.0,941951051.0,1095210419.0,1211168030.6,0.3858,0.1359
National Capital Region,Industry,At Current Prices,25,939765918.28,833666738.0,556034406.8677,3.091742616206882e+17,370394121.0,2592524710.0,2222130589.0,581044501.0,1096049972.0,515005471.0,420184582.2,581044501.0,833666738.0,1096049972.0,1314386432.4,0.5917,0.3071
National Capital Region,Services,At Constant 2018 Prices,25,4497687112.88,3717794712.0,2794778233.0044,7.810785371675374e+18,1912252788.0,12877000495.0,10964747707.0,2638174902.0,5321144076.0,2682969174.0,2064447875.6,2638174902.0,3717794712.0,5321144076.0,6478986221.8,0.6214,0.3371
National Capital Region,Services,At Current Prices,25,4233723458.2,3225767338.0,3533476317.7259,1.2485454887929627e+19,955556044.0,14835681045.0,13880125001.0,1809364685.0,5546253441.0,3736888756.0,1173921866.6,1809364685.0,3225767338.0,5546253441.0,7278872817.8,0.8346,0.508
Northern Mindanao,"Agriculture, forestry, and fishing",At Constant 2018 Prices,25,152907080.72,139657187.0,75202401.3258,5655401165164133.0,75946171.0,374164256.0,298218085.0,104473722.0,173541351.0,69067629.0,83007503.0,104473722.0,139657187.0,173541351.0,186486260.8,0.4918,0.2484
Northern Mindanao,"Agriculture, forestry, and fishing",At Current Prices,25,148924030.32,129561842.0,121578660.8259,1.4781370768222086e+16,34167737.0,515793765.0,481626028.0,62910184.0,173541351.0,110631167.0,40721116.8,62910184.0,129561842.0,173541351.0,241874793.4,0.8164,0.4679
Northern Mindanao,Gross Domestic Product,At Constant 2018 Prices,25,670254028.6,551141548.0,433759702.2127,1.8814747926363955e+17,254909002.0,1968917137.0,1714008135.0,389672303.0,821122015.0,431449712.0,307797111.6,389672303.0,551141548.0,821122015.0,975218322.4,0.6472,0.3563
Northern Mindanao,Gross Domestic Product,At Current Prices,25,636924730.0,472652726.0,570917221.237,3.2594647350501075e+17,122602899.0,2362340194.0,2239737295.0,248747368.0,821122015.0,572374647.0,166357961.4,248747368.0,472652726.0,821122015.0,1143618948.0,0.8964,0.535
Northern Mindanao,Industry,At Constant 2018 Prices,25,154450085.44,120524999.0,118103610.1065,1.3948462720177662e+16,46718335.0,495902147.0,449183812.0,70834778.0,203783444.0,132948666.0,55904305.6,70834778.0,120524999.0,203783444.0,249584303.2,0.7647,0.4841
Northern Mindanao,Industry,At Current Prices,25,153192209.72,107458437.0,146463432.7793,2.145153714150679e+16,25742778.0,586538884.0,560796106.0,51998620.0,203783444.0,151784824.0,35214787.0,51998620.0,107458437.0,203783444.0,285710212.4,0.9561,0.5934
Northern Mindanao,Services,At Constant 2018 Prices,25,379791869.04,302798655.0,256444200.5959,6.576362801924541e+16,134495552.0,1158607495.0,1024111943.0,220104994.0,460846890.0,240741896.0,171955722.6,220104994.0,302798655.0,460846890.0,576144126.4,0.6752,0.3535
Northern Mindanao,Services,At Current Prices,25,351012520.32,246101092.0,320810014.9298,1.0291906567926112e+17,63757554.0,1324993358.0,1261235804.0,137331059.0,467814721.0,330483662.0,92099876.2,137331059.0,246101092.0,467814721.0,650064858.4,0.914,0.5461
SOCCSKSARGEN,"Agriculture, forestry, and fishing",At Constant 2018 Prices,25,119796110.08,114247863.0,47178005.9574,2225764246112567.8,70633235.0,265607008.0,194973773.0,92286598.0,127681321.0,35394723.0,78370927.2,92286598.0,114247863.0,127681321.0,130701062.8,0.3938,0.1609
SOCCSKSARGEN,"Agriculture, forestry, and fishing",At Current Prices,25,114341728.12,115758201.0,71273725.717,5079943977586422.0,32847867.0,326005092.0,293157225.0,62337069.0,129899332.0,67562263.0,39563678.2,62337069.0,115758201.0,129899332.0,159923108.8,0.6233,0.3515
SOCCSKSARGEN,Gross Domestic Product,At Constant 2018 Prices,25,378251989.8,315391176.0,221219830.5951,4.893821344853453e+16,175244994.0,1042547094.0,867302100.0,237237885.0,449247792.0,212009907.0,199529841.6,237237885.0,315391176.0,449247792.0,519050113.2,0.5848,0.3088
SOCCSKSARGEN,Gross Domestic Product,At Current Prices,25,363288324.72,291093120.0,290350101.5996,8.43031814989078e+16,90192440.0,1243873619.0,1153681179.0,162095898.0,454304549.0,292208651.0,113478676.2,162095898.0,291093120.0,454304549.0,606926182.2,0.7992,0.4741
SOCCSKSARGEN,Industry,At Constant 2018 Prices,25,88324760.72,70628795.0,57086846.7189,3258908068304883.5,34090174.0,252771161.0,218680987.0,51079722.0,111741821.0,60662099.0,41656292.2,51079722.0,70628795.0,111741821.0,129392717.0,0.6463,0.3726
SOCCSKSARGEN,Industry,At Current Prices,25,86184808.6,66297640.0,68267783.9835,4660490330014839.0,21967129.0,286625867.0,264658738.0,38627802.0,111071076.0,72443274.0,28004848.2,38627802.0,66297640.0,111071076.0,140762515.8,0.7921,0.4839
SOCCSKSARGEN,Services,At Constant 2018 Prices,25,179525805.04,134480339.0,126658745.5675,1.6042437828721928e+16,69519528.0,563938683.0,494419155.0,96667184.0,221394986.0,124727802.0,81512034.4,96667184.0,134480339.0,221394986.0,278718851.6,0.7055,0.3921
SOCCSKSARGEN,Services,At Current Prices,25,172076701.68,112964150.0,162443084.4778,2.6387755694673788e+16,35806633.0,668331280.0,632524647.0,62981861.0,228363210.0,165381349.0,47030354.8,62981861.0,112964150.0,228363210.0,324613277.4,0.944,0.5676
Western Visayas,"Agriculture, forestry, and fishing",At Constant 2018 Prices,25,142165016.88,141175820.0,43737238.0398,1912945991348852.2,93161638.0,274545159.0,181383521.0,117478970.0,153436676.0,35957706.0,99368536.6,117478970.0,141175820.0,153436676.0,168051977.0,0.3077,0.1327
Western Visayas,"Agriculture, forestry, and fishing",At Current Prices,25,124158963.96,123573581.0,60965343.0416,3716773052174787.5,51910181.0,292190501.0,240280320.0,82150771.0,144203590.0,62052819.0,57783222.8,82150771.0,123573581.0,144203590.0,158808852.0,0.491,0.2741
Western Visayas,Gross Domestic Product,At Constant 2018 Prices,25,664327406.28,605376449.0,333077319.2969,1.1094050063004032e+17,323742052.0,1639556604.0,1315814552.0,430039527.0,820773095.0,390733568.0,348560406.0,430039527.0,605376449.0,820773095.0,897980297.0,0.5014,0.3124
Western Visayas,Gross Domestic Product,At Current Prices,25,627883167.36,527279962.0,456864579.1508,2.0872524368265802e+17,180855163.0,1981487766.0,1800632603.0,299925476.0,797040847.0,497115371.0,212101315.4,299925476.0,527279962.0,797040847.0,929871297.6,0.7276,0.4532
Western Visayas,Industry,At Constant 2018 Prices,25,134703657.52,119432381.0,71468606.6322,5107761733949506.0,61430165.0,338254128.0,276823963.0,80403870.0,169659855.0,89255985.0,68735797.2,80403870.0,119432381.0,169659855.0,190700373.8,0.5306,0.3569
Western Visayas,Industry,At Current Prices,25,137617885.28,107909017.0,111594809.7481,1.245340156271429e+16,37704264.0,474432167.0,436727903.0,60084195.0,165404587.0,105320392.0,46213549.4,60084195.0,107909017.0,165404587.0,209001368.6,0.8109,0.4671
Western Visayas,Services,At Constant 2018 Prices,25,422397253.48,371795930.0,242619915.2019,5.886442325257465e+16,176482468.0,1131991393.0,955508925.0,244303366.0,528951037.0,284647671.0,188495883.2,244303366.0,371795930.0,528951037.0,613739470.6,0.5744,0.3681
Western Visayas,Services,At Current Prices,25,400057387.92,317157273.0,313419980.0999,9.823208392582648e+16,95935911.0,1347052623.0,1251116712.0,168387154.0,553447756.0,385060602.0,114347030.8,168387154.0,317157273.0,553447756.0,628353976.0,0.7834,0.5334
Zamboanga Peninsula,"Agriculture, forestry, and fishing",At Constant 2018 Prices,25,77298301.28,73078920.0,23143141.6745,535605006567180.6,55889691.0,152594635.0,96704944.0,69619181.0,74878611.0,5259430.0,60083723.0,69619181.0,73078920.0,74878611.0,81242843.2,0.2994,0.0364
Zamboanga Peninsula,"Agriculture, forestry, and fishing",At Current Prices,25,67490376.6,64368976.0,43245854.4278,1870203925194380.0,20645129.0,195181544.0,174536415.0,38611221.0,73172143.0,34560922.0,25324692.2,38611221.0,64368976.0,73172143.0,99890885.8,0.6408,0.3092
Zamboanga Peninsula,Gross Domestic Product,At Constant 2018 Prices,25,319530243.32,267034112.0,189497267.0784,3.590921423016554e+16,153478479.0,894115765.0,740637286.0,196123519.0,376299326.0,180175807.0,163996080.2,196123519.0,267034112.0,376299326.0,438562933.8,0.593,0.3148
Zamboanga Peninsula,Gross Domestic Product,At Current Prices,25,299860639.84,236734323.0,254774399.4959,6.490999463848079e+16,71512156.0,1063251213.0,991739057.0,124161636.0,379428020.0,255266384.0,83445894.6,124161636.0,236734323.0,379428020.0,520785479.4,0.8496,0.5069
Zamboanga Peninsula,Industry,At Constant 2018 Prices,25,81877962.0,64285468.0,62823864.442,3946837943431060.5,24546883.0,257695205.0,233148322.0,35879090.0,110081544.0,74202454.0,27979517.6,35879090.0,64285468.0,110081544.0,129078676.2,0.7673,0.5084
Zamboanga Peninsula,Industry,At Current Prices,25,86402079.84,62642095.0,81640754.188,6665212744379559.0,14667423.0,323460923.0,308793500.0,28447584.0,111550829.0,83103245.0,18026111.6,28447584.0,62642095.0,111550829.0,157412054.8,0.9449,0.5936
Zamboanga Peninsula,Services,At Constant 2018 Prices,25,164985407.0,135949879.0,109201215.3487,1.192490543363209e+16,73793669.0,497822589.0,424028920.0,93209223.0,198488961.0,105279738.0,77298983.8,93209223.0,135949879.0,198488961.0,246086324.0,0.6619,0.3609
Zamboanga Peninsula,Services,At Current Prices,25,150262615.08,109424908.0,134649911.7509,1.813059873452552e+16,36667286.0,559431947.0,522764661.0,58478758.0,200749279.0,142270521.0,40804673.8,58478758.0,109424908.0,200749279.0,272516476.2,0.8961,0.5488
