Region,Main_Sector,Price_Type,n,mean,median,std,var,min,max,range,Q1,Q3,IQR,P10,P25,P50,P75,P90,CV,QCD
CALABARZON,Gross Domestic Product,At Current Prices,25,2106031017.48,1721867470.0,1571721570.3181,2.4703086946032584e+18,601691426.0,6868980516.0,6267289090.0,1093698856.0,2565120461.0,1471421605.0,743211146.2,1093698856.0,1721867470.0,2565120461.0,3380458123.6,0.7463,0.4022
CALABARZON,Industry,At Constant 2018 Prices,25,1112080488.24,903828339.0,653136790.3685,4.2658766693285626e+17,549909108.0,3068646083.0,2518736975.0,706665216.0,1276334044.0,569668828.0,597846596.2,706665216.0,903828339.0,1276334044.0,1533288518.6,0.5873,0.2873
CALABARZON,Industry,At Current Prices,25,1058539912.12,916972689.0,722214696.3873,5.2159406767783226e+17,327166536.0,3211867705.0,2884701169.0,606613444.0,1222500073.0,615886629.0,416813565.6,606613444.0,916972689.0,1222500073.0,1600211551.6,0.6823,0.3367
CALABARZON,Services,At Constant 2018 Prices,25,1026501356.0,833952464.0,678942388.2825,4.609627666067737e+17,415668902.0,3096163342.0,2680494440.0,580857885.0,1229712434.0,648854549.0,454893004.6,580857885.0,833952464.0,1229712434.0,1542151987.2,0.6614,0.3584
CALABARZON,Services,At Current Prices,25,987844455.72,739298612.0,846034689.231,7.1577469538221e+17,231546528.0,3582327097.0,3350780569.0,426820211.0,1275633558.0,848813347.0,278261887.6,426820211.0,739298612.0,1275633558.0,1747069695.4,0.8564,0.4986
Cagayan Valley,"Agriculture, forestry, and fishing",At Constant 2018 Prices,25,104979603.84,100162563.0,43427291.9258,1885929684008705.2,67423725.0,239983892.0,172560167.0,80013239.0,112075827.0,32062588.0,68669289.2,80013239.0,100162563.0,112075827.0,118187434.2,0.4137,0.1669
Cagayan Valley,"Agriculture, forestry, and fishing",At Current Prices,25,93315903.72,90772763.0,56617924.0818,3205589327334760.5,35051138.0,263931535.0,228880397.0,52457596.0,107772358.0,55314762.0,36744520.6,52457596.0,90772763.0,107772358.0,132693774.8,0.6067,0.3452
Cagayan Valley,Gross Domestic Product,At Constant 2018 Prices,25,321249327.16,264876624.0,187398395.6495,3.51181586919965e+16,158218411.0,893959823.0,735741412.0,200542676.0,371102979.0,170560303.0,168210803.4,200542676.0,264876624.0,371102979.0,447035748.6,0.5833,0.2984
Cagayan Valley,Gross Domestic Product,At Current Prices,25,300535600.48,234724620.0,235899664.9947,5.564865194459027e+16,85937981.0,1021420069.0,935482088.0,139253836.0,367331248.0,228077412.0,97636011.2,139253836.0,234724620.0,367331248.0,498500485.6,0.7849,0.4502
Cagayan Valley,Industry,At Constant 2018 Prices,25,86393305.32,64418631.0,55269620.4963,3054730949804846.0,38805064.0,254857503.0,216052439.0,52330061.0,104979666.0,52649605.0,42615031.8,52330061.0,64418631.0,104979666.0,130042023.8,0.6397,0.3347
Cagayan Valley,Industry,At Current Prices,25,81537626.28,53210394.0,69637458.2284,4849375588518013.0,22044267.0,297074257.0,275029990.0,37349202.0,102657735.0,65308533.0,26364937.8,37349202.0,53210394.0,102657735.0,147303032.0,0.8541,0.4665
Cagayan Valley,Services,At Constant 2018 Prices,25,134584792.4,105649437.0,91945017.1004,8453886169583816.0,51910845.0,410513944.0,358603099.0,70361303.0,164033883.0,93672580.0,59079902.2,70361303.0,105649437.0,164033883.0,206053958.2,0.6832,0.3996
Cagayan Valley,Services,At Current Prices,25,130279831.16,95400913.0,113694805.021,1.2926508688751904e+16,28528188.0,473815713.0,445287525.0,50970467.0,169461048.0,118490581.0,35963819.6,50970467.0,95400913.0,169461048.0,230578125.4,0.8727,0.5375
Caraga,"Agriculture, forestry, and fishing",At Constant 2018 Prices,25,39996340.2,38488691.0,11047951.999,122057243371287.83,28494645.0,74845638.0,46350993.0,36236723.0,39032010.0,2795287.0,31641253.6,36236723.0,38488691.0,39032010.0,42291679.0,0.2762,0.0371
Caraga,"Agriculture, forestry, and fishing",At Current Prices,25,36104637.04,33263550.0,20224914.7003,409047174635890.3,13739695.0,94995914.0,81256219.0,24181172.0,39889432.0,15708260.0,16470251.4,24181172.0,33263550.0,39889432.0,47788991.0,0.5602,0.2452
Caraga,Gross Domestic Product,At Constant 2018 Prices,25,234480446.84,193102956.0,150232070.1418,2.2569674899097836e+16,96921630.0,679103031.0,582181401.0,132729349.0,285001928.0,152272579.0,109587407.8,132729349.0,193102956.0,285001928.0,340164274.6,0.6407,0.3645
Caraga,Gross Domestic Product,At Current Prices,25,229383274.08,180393968.0,195239717.467,3.8118547276589864e+16,52357709.0,812123784.0,759766075.0,95817471.0,290561794.0,194744323.0,64790116.4,95817471.0,180393968.0,290561794.0,396230611.6,0.8512,0.504
Caraga,Industry,At Constant 2018 Prices,25,79561868.4,71011843.0,54235978.2704,2941541338942971.0,27597904.0,227142799.0,199544895.0,35056725.0,106727011.0,71670286.0,28716043.0,35056725.0,71011843.0,106727011.0,116598562.6,0.6817,0.5055
Caraga,Industry,At Current Prices,25,82378257.76,72996778.0,69271168.9679,4798494850176228.0,17705822.0,282227470.0,264521648.0,31122110.0,105485979.0,74363869.0,19667014.0,31122110.0,72996778.0,105485979.0,134950906.2,0.8409,0.5444
Caraga,Services,At Constant 2018 Prices,25,118702982.52,86692263.0,89473006.811,8005418947795762.0,40670092.0,389679086.0,349008994.0,62492341.0,146657597.0,84165256.0,50752228.2,62492341.0,86692263.0,146657597.0,192343974.6,0.7538,0.4024
Caraga,Services,At Current Prices,25,114666169.88,76684461.0,110060244.4362,1.211325740536684e+16,20658120.0,449209793.0,428551673.0,41538241.0,146657597.0,105119356.0,29326519.0,41538241.0,76684461.0,146657597.0,220447176.8,0.9598,0.5586
Central Luzon,"Agriculture, forestry, and fishing",At Constant 2018 Prices,25,231644476.88,217527630.0,89327430.7484,7979389884101752.0,132530764.0,500022542.0,367491778.0,178509204.0,252211653.0,73702449.0,154673461.6,178509204.0,217527630.0,252211653.0,267150393.6,0.3856,0.1711
Central Luzon,"Agriculture, forestry, and fishing",At Current Prices,25,219257737.6,204897786.0,134823722.0026,1.8177436014639044e+16,71958531.0,636420047.0,564461516.0,125635426.0,254379766.0,128744340.0,88439722.0,125635426.0,204897786.0,254379766.0,303992970.0,0.6149,0.3388
Central Luzon,Gross Domestic Product,At Constant 2018 Prices,25,1614752795.12,1336963348.0,1007001264.1092,1.0140515459174417e+18,707245644.0,4635402950.0,3928157306.0,927301530.0,1929193858.0,1001892328.0,805477659.6,927301530.0,1336963348.0,1929193858.0,2354261898.2,0.6236,0.3507
Central Luzon,Gross Domestic Product,At Current Prices,25,1524743480.8,1206580595.0,1244755173.3732,1.549415441639338e+18,368786804.0,5297131451.0,4928344647.0,668848239.0,1864111182.0,1195262943.0,469172471.4,668848239.0,1206580595.0,1864111182.0,2609226929.8,0.8164,0.4719
Central Luzon,Industry,At Constant 2018 Prices,25,643309807.2,514804721.0,448737389.356,2.0136524460603075e+17,274713944.0,1961421432.0,1686707488.0,319142152.0,819022643.0,499880491.0,305427459.0,319142152.0,514804721.0,819022643.0,1005717164.6,0.6975,0.4392
Central Luzon,Industry,At Current Prices,25,606444777.4,472765691.0,515374899.6184,2.6561128715670122e+17,149973055.0,2138850267.0,1988877212.0,248463314.0,771732585.0,523269271.0,188130483.0,248463314.0,472765691.0,771732585.0,1080156328.8,0.8498,0.5129
Central Luzon,Services,At Constant 2018 Prices,25,856367100.72,702011920.0,564114768.9305,3.1822547252553805e+17,325474872.0,2562164742.0,2236689870.0,476088592.0,1022946481.0,546857889.0,374633259.0,476088592.0,702011920.0,1022946481.0,1288888724.4,0.6587,0.3648
Central Luzon,Services,At Current Prices,25,810653629.32,609825518.0,706024870.6071,4.9847111791581466e+17,158144701.0,2956129020.0,2797984319.0,323664595.0,1056961412.0,733296817.0,208320180.2,323664595.0,609825518.0,1056961412.0,1458483633.8,0.8709,0.5311
Central Visayas,"Agriculture, forestry, and fishing",At Constant 2018 Prices,25,75595264.28,71431707.0,22873157.203,523181320432037.5,54045272.0,150764951.0,96719679.0,63312953.0,78798276.0,15485323.0,59474078.2,63312953.0,71431707.0,78798276.0,86363376.2,0.3026,0.109
Central Visayas,"Agriculture, forestry, and fishing",At Current Prices,25,67080989.76,63584803.0,40546583.693,1644025449174075.2,25371567.0,196632744.0,171261177.0,38336881.0,79460898.0,41124017.0,29201726.2,38336881.0,63584803.0,79460898.0,92302766.6,0.6044,0.3491
Central Visayas,Gross Domestic Product,At Constant 2018 Prices,25,911405412.84,779760030.0,559729887.171,3.132975465924908e+17,382350583.0,2570730837.0,2188380254.0,507783275.0,1134912345.0,627129070.0,413743211.8,507783275.0,779760030.0,1134912345.0,1267454077.4,0.6141,0.3818
Central Visayas,Gross Domestic Product,At Current Prices,25,855505997.72,674544563.0,694537043.9406,4.82381705405707e+17,201368028.0,2932601507.0,2731233479.0,354599746.0,1170115820.0,815516074.0,242796434.2,354599746.0,674544563.0,1170115820.0,1403064823.2,0.8118,0.5349
Central Visayas,Industry,At Constant 2018 Prices,25,243310927.92,219917011.0,133360111.5944,1.7784919364461382e+16,114829317.0,621460263.0,506630946.0,142539953.0,294229163.0,151689210.0,120445310.4,142539953.0,219917011.0,294229163.0,334067146.6,0.5481,0.3473
Central Visayas,Industry,At Current Prices,25,240117655.68,207904510.0,167772324.6869,2.8147552930852948e+16,73223700.0,725739718.0,652516018.0,116574228.0,299778306.0,183204078.0,82957572.4,116574228.0,207904510.0,299778306.0,362648703.8,0.6987,0.44
Central Visayas,Services,At Constant 2018 Prices,25,660171495.64,544277209.0,461441073.4128,2.1292786423235274e+17,225889393.0,2028175094.0,1802285701.0,325928805.0,861292292.0,535363487.0,248255964.2,325928805.0,544277209.0,861292292.0,980996348.2,0.699,0.4509
Central Visayas,Services,At Current Prices,25,613612100.44,452552179.0,547992740.272,3.002960433908664e+17,109279477.0,2251287205.0,2142007728.0,216432270.0,875486018.0,659053748.0,139411395.0,216432270.0,452552179.0,875486018.0,1072648292.0,0.8931,0.6036
Cordillera Administrative Region,"Agriculture, forestry, and fishing",At Constant 2018 Prices,3,28000560.3333,28094112.0,186605.7712,34821713852.3333,27785684.0,28121885.0,336201.0,27939898.0,28107998.5,168100.5,27847369.6,27939898.0,28094112.0,28107998.5,28116330.4,0.0067,0.003
Cordillera Administrative Region,"Agriculture, forestry, and fishing",At Current Prices,3,33070585.6667,33798890.0,3098348.5401,9599763675834.332,29672963.0,35739904.0,6066941.0,31735926.5,34769397.0,3033470.5,30498148.4,31735926.5,33798890.0,34769397.0,35351701.2,0.0937,0.0456
Cordillera Administrative Region,Gross Domestic Product,At Constant 2018 Prices,3,358971396.6667,360896543.0,20324266.2556,413075798829152.4,337753055.0,378264592.0,40511537.0,349324799.0,369580567.5,20255768.5,342381752.6,349324799.0,360896543.0,369580567.5,374790982.2,0.0566,0.0282
Cordillera Administrative Region,Gross Domestic Product,At Current Prices,3,407220514.6667,410079730.0,39810137.8212,1584847073340912.2,366057851.0,445523963.0,79466112.0,388068790.5,427801846.5,39733056.0,374862226.8,388068790.5,410079730.0,427801846.5,438435116.4,0.0978,0.0487
Cordillera Administrative Region,Industry,At Constant 2018 Prices,3,86334462.0,87420100.0,2113791.4791,4468114417252.0,83898456.0,87684830.0,3786374.0,85659278.0,87552465.0,1893187.0,84602784.8,85659278.0,87420100.0,87552465.0,87631884.0,0.0245,0.0109
Cordillera Administrative Region,Industry,At Current Prices,3,94934466.0,96096121.0,5571270.6676,31039056851925.0,88873951.0,99833326.0,10959375.0,92485036.0,97964723.5,5479687.5,90318385.0,92485036.0,96096121.0,97964723.5,99085885.0,0.0587,0.0288
Cordillera Administrative Region,Services,At Constant 2018 Prices,3,271178403.0,272139457.0,21327163.477,454847901974076.0,249386959.0,292008793.0,42621834.0,260763208.0,282074125.0,21310917.0,253937458.6,260763208.0,272139457.0,282074125.0,288034925.8,0.0786,0.0393
Cordillera Administrative Region,Services,At Current Prices,3,307969231.0,308730036.0,35588782.1101,1266561412081825.0,272006146.0,343171511.0,71165365.0,290368091.0,325950773.5,35582682.5,279350924.0,290368091.0,308730036.0,325950773.5,336283216.0,0.1156,0.0577
Davao Region,"Agriculture, forestry, and fishing",At Constant 2018 Prices,25,141401739.2,137130574.0,48574164.1036,2359449418359693.5,93200093.0,294636863.0,201436770.0,122389449.0,140773270.0,18383821.0,100854998.8,122389449.0,137130574.0,140773270.0,145901596.8,0.3435,0.0699
