Price_Type,n,mean,median,std,var,min,max,range,Q1,Q3,IQR,P10,P25,P50,P75,P90,CV,QCD
At Constant 2018 Prices,405,907941164.9951,411149258.0,1407433087.3421,1.9808678953451958e+18,94136902.0,13148898313.0,13054761411.0,260522888.0,882189256.0,621666368.0,176543077.6,260522888.0,411149258.0,882189256.0,2135225328.6,1.5501,0.544
At Current Prices,405,855935467.4,381711706.0,1493067692.5712,2.2292511346000097e+18,44751362.0,15145224777.0,15100473415.0,194874139.0,854442889.0,659568750.0,115195908.6,194874139.0,381711706.0,854442889.0,2040164522.6,1.7444,0.6286
