Region,Price_Type,n,mean,median,std,var,min,max,range,Q1,Q3,IQR,P10,P25,P50,P75,P90,CV,QCD
Ilocos Region,At Current Prices,25,466653443.36,356651167.0,377480700.8816,1.4249167953807336e+17,128944988.0,1626927464.0,1497982476.0,218353822.0,587597251.0,369243429.0,151525578.2,218353822.0,356651167.0,587597251.0,784041366.8,0.8089,0.4581
MIMAROPA,At Constant 2018 Prices,24,263246151.2083,248078214.5,89789454.0995,8062146067485875.0,124948855.0,411434973.0,286486118.0,190206710.75,345574445.25,155367734.5,152957101.0,190206710.75,248078214.5,345574445.25,381971984.8,0.3411,0.29
MIMAROPA,At Current Prices,24,234034457.5833,221738456.5,122201140.7045,1.4933118789486428e+16,66182382.0,472213804.0,406031422.0,128849282.25,327122398.25,198273116.0,87070364.5,128849282.25,221738456.5,327122398.25,380573830.9,0.5222,0.4348
MIMAROPA Region,At Constant 2018 Prices,3,411164256.3333,411149258.0,18204493.1338,331403570259134.3,392967267.0,429376244.0,36408977.0,402058262.5,420262751.0,18204488.5,396603665.2,402058262.5,411149258.0,420262751.0,425730846.8,0.0443,0.0221
MIMAROPA Region,At Current Prices,3,477864161.0,471001419.0,28824971.1433,830878961412532.0,453089929.0,509501135.0,56411206.0,462045674.0,490251277.0,28205603.0,456672227.0,462045674.0,471001419.0,490251277.0,501801191.8,0.0603,0.0296
National Capital Region,At Constant 2018 Prices,25,4868231703.52,4072189800.0,2727106051.6162,7.437107416761933e+18,2416391870.0,13148898313.0,10732506443.0,3157102605.0,5599931197.0,2442828592.0,2553923976.4,3157102605.0,4072189800.0,5599931197.0,6654790026.8,0.5602,0.279
National Capital Region,At Current Prices,25,4527994750.88,3553088571.0,3521442628.9567,1.2400558189033472e+19,1237450701.0,15145224777.0,13907774076.0,2176864045.0,5800819179.0,3623955134.0,1479553236.2,2176864045.0,3553088571.0,5800819179.0,7446262888.2,0.7777,0.4543
Northern Mindanao,At Constant 2018 Prices,25,670254028.6,551141548.0,433759702.2127,1.8814747926363955e+17,254909002.0,1968917137.0,1714008135.0,389672303.0,821122015.0,431449712.0,307797111.6,389672303.0,551141548.0,821122015.0,975218322.4,0.6472,0.3563
Northern Mindanao,At Current Prices,25,636924730.0,472652726.0,570917221.237,3.2594647350501075e+17,122602899.0,2362340194.0,2239737295.0,248747368.0,821122015.0,572374647.0,166357961.4,248747368.0,472652726.0,821122015.0,1143618948.0,0.8964,0.535
SOCCSKSARGEN,At Constant 2018 Prices,25,378251989.8,315391176.0,221219830.5951,4.893821344853453e+16,175244994.0,1042547094.0,867302100.0,237237885.0,449247792.0,212009907.0,199529841.6,237237885.0,315391176.0,449247792.0,519050113.2,0.5848,0.3088
SOCCSKSARGEN,At Current Prices,25,363288324.72,291093120.0,290350101.5996,8.43031814989078e+16,90192440.0,1243873619.0,1153681179.0,162095898.0,454304549.0,292208651.0,113478676.2,162095898.0,291093120.0,454304549.0,606926182.2,0.7992,0.4741
Western Visayas,At Constant 2018 Prices,25,664327406.28,605376449.0,333077319.2969,1.1094050063004032e+17,323742052.0,1639556604.0,1315814552.0,430039527.0,820773095.0,390733568.0,348560406.0,430039527.0,605376449.0,820773095.0,897980297.0,0.5014,0.3124
Western Visayas,At Current Prices,25,627883167.36,527279962.0,456864579.1508,2.0872524368265802e+17,180855163.0,1981487766.0,1800632603.0,299925476.0,797040847.0,497115371.0,212101315.4,299925476.0,527279962.0,797040847.0,929871297.6,0.7276,0.4532
Zamboanga Peninsula,At Constant 2018 Prices,25,319530243.32,267034112.0,189497267.0784,3.590921423016554e+16,153478479.0,894115765.0,740637286.0,196123519.0,376299326.0,180175807.0,163996080.2,196123519.0,267034112.0,376299326.0,438562933.8,0.593,0.3148
Zamboanga Peninsula,At Current Prices,25,299860639.84,236734323.0,254774399.4959,6.490999463848079e+16,71512156.0,1063251213.0,991739057.0,124161636.0,379428020.0,255266384.0,83445894.6,124161636.0,236734323.0,379428020.0,520785479.4,0.8496,0.5069
