Region,Year,Price_Type,Total_GRDP
National Capital Region,2024,At Constant 2018 Prices,6941893740.0
National Capital Region,2024,At Current Prices,8214308357.0
Northern Mindanao,2000,At Constant 2018 Prices,254909002.0
Northern Mindanao,2000,At Current Prices,122602899.0
Northern Mindanao,2001,At Constant 2018 Prices,272386379.0
Northern Mindanao,2001,At Current Prices,136862102.0
Northern Mindanao,2002,At Constant 2018 Prices,299873812.0
Northern Mindanao,2002,At Current Prices,158949261.0
Northern Mindanao,2003,At Constant 2018 Prices,319682061.0
Northern Mindanao,2003,At Current Prices,177471012.0
Northern Mindanao,2004,At Constant 2018 Prices,346219338.0
Northern Mindanao,2004,At Current Prices,204146137.0
Northern Mindanao,2005,At Constant 2018 Prices,364973391.0
Northern Mindanao,2005,At Current Prices,224201372.0
Northern Mindanao,2006,At Constant 2018 Prices,389672303.0
Northern Mindanao,2006,At Current Prices,248747368.0
Northern Mindanao,2007,At Constant 2018 Prices,418466127.0
Northern Mindanao,2007,At Current Prices,278501999.0
Northern Mindanao,2008,At Constant 2018 Prices,441550494.0
Northern Mindanao,2008,At Current Prices,322020334.0
Northern Mindanao,2009,At Constant 2018 Prices,456214263.0
Northern Mindanao,2009,At Current Prices,346382742.0
Northern Mindanao,2010,At Constant 2018 Prices,484523975.0
Northern Mindanao,2010,At Current Prices,394980142.0
Northern Mindanao,2011,At Constant 2018 Prices,513466854.0
Northern Mindanao,2011,At Current Prices,436363852.0
Northern Mindanao,2012,At Constant 2018 Prices,551141548.0
Northern Mindanao,2012,At Current Prices,472652726.0
Northern Mindanao,2013,At Constant 2018 Prices,583766826.0
Northern Mindanao,2013,At Current Prices,509881162.0
Northern Mindanao,2014,At Constant 2018 Prices,633651974.0
Northern Mindanao,2014,At Current Prices,569991317.0
Northern Mindanao,2015,At Constant 2018 Prices,670356960.0
Northern Mindanao,2015,At Current Prices,609017243.0
Northern Mindanao,2016,At Constant 2018 Prices,723308958.0
Northern Mindanao,2016,At Current Prices,679435851.0
Northern Mindanao,2017,At Constant 2018 Prices,766435831.0
Northern Mindanao,2017,At Current Prices,737898187.0
Northern Mindanao,2018,At Constant 2018 Prices,821122015.0
Northern Mindanao,2018,At Current Prices,821122015.0
Northern Mindanao,2019,At Constant 2018 Prices,867432424.0
Northern Mindanao,2019,At Current Prices,885223985.0
Northern Mindanao,2020,At Constant 2018 Prices,821433093.0
Northern Mindanao,2020,At Current Prices,860415357.0
Northern Mindanao,2021,At Constant 2018 Prices,872805112.0
Northern Mindanao,2021,At Current Prices,948892065.0
Northern Mindanao,2022,At Constant 2018 Prices,1870547042.0
Northern Mindanao,2022,At Current Prices,2141582058.0
Northern Mindanao,2023,At Constant 2018 Prices,1968917137.0
Northern Mindanao,2023,At Current Prices,2362340194.0
Northern Mindanao,2024,At Constant 2018 Prices,1043493796.0
Northern Mindanao,2024,At Current Prices,1273436870.0
SOCCSKSARGEN,2000,At Constant 2018 Prices,175244994.0
SOCCSKSARGEN,2000,At Current Prices,90192440.0
SOCCSKSARGEN,2001,At Constant 2018 Prices,176820019.0
SOCCSKSARGEN,2001,At Current Prices,95184436.0
SOCCSKSARGEN,2002,At Constant 2018 Prices,194583624.0
SOCCSKSARGEN,2002,At Current Prices,109032491.0
SOCCSKSARGEN,2003,At Constant 2018 Prices,206949168.0
SOCCSKSARGEN,2003,At Current Prices,120147954.0
SOCCSKSARGEN,2004,At Constant 2018 Prices,218756257.0
SOCCSKSARGEN,2004,At Current Prices,139197728.0
SOCCSKSARGEN,2005,At Constant 2018 Prices,223108764.0
SOCCSKSARGEN,2005,At Current Prices,146556546.0
SOCCSKSARGEN,2006,At Constant 2018 Prices,237237885.0
SOCCSKSARGEN,2006,At Current Prices,162095898.0
SOCCSKSARGEN,2007,At Constant 2018 Prices,252449432.0
SOCCSKSARGEN,2007,At Current Prices,185204666.0
SOCCSKSARGEN,2008,At Constant 2018 Prices,264630696.0
SOCCSKSARGEN,2008,At Current Prices,211332780.0
SOCCSKSARGEN,2009,At Constant 2018 Prices,269570793.0
SOCCSKSARGEN,2009,At Current Prices,220826218.0
SOCCSKSARGEN,2010,At Constant 2018 Prices,278784645.0
SOCCSKSARGEN,2010,At Current Prices,252178036.0
SOCCSKSARGEN,2011,At Constant 2018 Prices,292232263.0
SOCCSKSARGEN,2011,At Current Prices,277035863.0
SOCCSKSARGEN,2012,At Constant 2018 Prices,315391176.0
SOCCSKSARGEN,2012,At Current Prices,291093120.0
SOCCSKSARGEN,2013,At Constant 2018 Prices,343680815.0
SOCCSKSARGEN,2013,At Current Prices,324370805.0
SOCCSKSARGEN,2014,At Constant 2018 Prices,364657867.0
SOCCSKSARGEN,2014,At Current Prices,352653227.0
SOCCSKSARGEN,2015,At Constant 2018 Prices,377171442.0
SOCCSKSARGEN,2015,At Current Prices,354753546.0
SOCCSKSARGEN,2016,At Constant 2018 Prices,394076962.0
SOCCSKSARGEN,2016,At Current Prices,381711706.0
SOCCSKSARGEN,2017,At Constant 2018 Prices,424972061.0
SOCCSKSARGEN,2017,At Current Prices,420127877.0
SOCCSKSARGEN,2018,At Constant 2018 Prices,454304549.0
SOCCSKSARGEN,2018,At Current Prices,454304549.0
SOCCSKSARGEN,2019,At Constant 2018 Prices,469982193.0
SOCCSKSARGEN,2019,At Current Prices,474892618.0
SOCCSKSARGEN,2020,At Constant 2018 Prices,449247792.0
SOCCSKSARGEN,2020,At Current Prices,467334771.0
SOCCSKSARGEN,2021,At Constant 2018 Prices,472510818.0
SOCCSKSARGEN,2021,At Current Prices,503888631.0
SOCCSKSARGEN,2022,At Constant 2018 Prices,1007312126.0
SOCCSKSARGEN,2022,At Current Prices,1128600710.0
SOCCSKSARGEN,2023,At Constant 2018 Prices,1042547094.0
SOCCSKSARGEN,2023,At Current Prices,1243873619.0
SOCCSKSARGEN,2024,At Constant 2018 Prices,550076310.0
SOCCSKSARGEN,2024,At Current Prices,675617883.0
Western Visayas,2000,At Constant 2018 Prices,323742052.0
Western Visayas,2000,At Current Prices,180855163.0
Western Visayas,2001,At Constant 2018 Prices,331474894.0
Western Visayas,2001,At Current Prices,190527313.0
Western Visayas,2002,At Constant 2018 Prices,340556420.0
Western Visayas,2002,At Current Prices,206272535.0
Western Visayas,2003,At Constant 2018 Prices,360566385.0
Western Visayas,2003,At Current Prices,220844486.0
Western Visayas,2004,At Constant 2018 Prices,388102456.0
Western Visayas,2004,At Current Prices,244363281.0
Western Visayas,2005,At Constant 2018 Prices,407685036.0
Western Visayas,2005,At Current Prices,270572999.0
Western Visayas,2006,At Constant 2018 Prices,430039527.0
Western Visayas,2006,At Current Prices,299925476.0
Western Visayas,2007,At Constant 2018 Prices,458869067.0
Western Visayas,2007,At Current Prices,329317934.0
Western Visayas,2008,At Constant 2018 Prices,480892689.0
Western Visayas,2008,At Current Prices,375511999.0
Western Visayas,2009,At Constant 2018 Prices,507844955.0
Western Visayas,2009,At Current Prices,407178512.0
Western Visayas,2010,At Constant 2018 Prices,531457374.0
Western Visayas,2010,At Current Prices,433178888.0
Western Visayas,2011,At Constant 2018 Prices,564705465.0
Western Visayas,2011,At Current Prices,477427428.0
Western Visayas,2012,At Constant 2018 Prices,605376449.0
Western Visayas,2012,At Current Prices,527279962.0
Western Visayas,2013,At Constant 2018 Prices,631660677.0
Western Visayas,2013,At Current Prices,566792962.0
Western Visayas,2014,At Constant 2018 Prices,665091892.0
Western Visayas,2014,At Current Prices,615916323.0
Western Visayas,2015,At Constant 2018 Prices,715495909.0
Western Visayas,2015,At Current Prices,667996261.0
Western Visayas,2016,At Constant 2018 Prices,758042789.0
Western Visayas,2016,At Current Prices,720566797.0
Western Visayas,2017,At Constant 2018 Prices,820773095.0
Western Visayas,2017,At Current Prices,791281769.0
Western Visayas,2018,At Constant 2018 Prices,860107768.0
Western Visayas,2018,At Current Prices,860107768.0
Western Visayas,2019,At Constant 2018 Prices,913909365.0
Western Visayas,2019,At Current Prices,919163055.0
Western Visayas,2020,At Constant 2018 Prices,825369599.0
Western Visayas,2020,At Current Prices,850797186.0
Western Visayas,2021,At Constant 2018 Prices,874086695.0
Western Visayas,2021,At Current Prices,937010126.0
Western Visayas,2022,At Constant 2018 Prices,1531014322.0
Western Visayas,2022,At Current Prices,1825662348.0
Western Visayas,2023,At Constant 2018 Prices,1639556604.0
Western Visayas,2023,At Current Prices,1981487766.0
Western Visayas,2024,At Constant 2018 Prices,641763673.0
Western Visayas,2024,At Current Prices,797040847.0
Zamboanga Peninsula,2000,At Constant 2018 Prices,153478479.0
Zamboanga Peninsula,2000,At Current Prices,71512156.0
Zamboanga Peninsula,2001,At Constant 2018 Prices,156632083.0
Zamboanga Peninsula,2001,At Current Prices,76332913.0
Zamboanga Peninsula,2002,At Constant 2018 Prices,161152567.0
Zamboanga Peninsula,2002,At Current Prices,81220537.0
Zamboanga Peninsula,2003,At Constant 2018 Prices,168261350.0
Zamboanga Peninsula,2003,At Current Prices,86783931.0
Zamboanga Peninsula,2004,At Constant 2018 Prices,175819789.0
Zamboanga Peninsula,2004,At Current Prices,96967352.0
Zamboanga Peninsula,2005,At Constant 2018 Prices,188931320.0
Zamboanga Peninsula,2005,At Current Prices,110091946.0
Zamboanga Peninsula,2006,At Constant 2018 Prices,196123519.0
Zamboanga Peninsula,2006,At Current Prices,124161636.0
Zamboanga Peninsula,2007,At Constant 2018 Prices,211043562.0
Zamboanga Peninsula,2007,At Current Prices,140783508.0
Zamboanga Peninsula,2008,At Constant 2018 Prices,217350412.0
Zamboanga Peninsula,2008,At Current Prices,162968224.0
Zamboanga Peninsula,2009,At Constant 2018 Prices,232017626.0
Zamboanga Peninsula,2009,At Current Prices,178223978.0
Zamboanga Peninsula,2010,At Constant 2018 Prices,239770872.0
Zamboanga Peninsula,2010,At Current Prices,195081265.0
Zamboanga Peninsula,2011,At Constant 2018 Prices,240130505.0
Zamboanga Peninsula,2011,At Current Prices,210255381.0
Zamboanga Peninsula,2012,At Constant 2018 Prices,267034112.0
Zamboanga Peninsula,2012,At Current Prices,236734323.0
Zamboanga Peninsula,2013,At Constant 2018 Prices,281049615.0
Zamboanga Peninsula,2013,At Current Prices,253224354.0
Zamboanga Peninsula,2014,At Constant 2018 Prices,301747243.0
Zamboanga Peninsula,2014,At Current Prices,276633110.0
Zamboanga Peninsula,2015,At Constant 2018 Prices,329285978.0
Zamboanga Peninsula,2015,At Current Prices,300939935.0
Zamboanga Peninsula,2016,At Constant 2018 Prices,346005979.0
Zamboanga Peninsula,2016,At Current Prices,322282583.0
Zamboanga Peninsula,2017,At Constant 2018 Prices,356798449.0
Zamboanga Peninsula,2017,At Current Prices,344667607.0
Zamboanga Peninsula,2018,At Constant 2018 Prices,379428020.0
Zamboanga Peninsula,2018,At Current Prices,379428020.0
Zamboanga Peninsula,2019,At Constant 2018 Prices,396878798.0
Zamboanga Peninsula,2019,At Current Prices,399109397.0
Zamboanga Peninsula,2020,At Constant 2018 Prices,376299326.0
Zamboanga Peninsula,2020,At Current Prices,394821669.0
Zamboanga Peninsula,2021,At Constant 2018 Prices,397862811.0
Zamboanga Peninsula,2021,At Current Prices,428106861.0
Zamboanga Peninsula,2022,At Constant 2018 Prices,855341554.0
Zamboanga Peninsula,2022,At Current Prices,980362872.0
Zamboanga Peninsula,2023,At Constant 2018 Prices,894115765.0
Zamboanga Peninsula,2023,At Current Prices,1063251213.0
Zamboanga Peninsula,2024,At Constant 2018 Prices,465696349.0
Zamboanga Peninsula,2024,At Current Prices,582571225.0
